"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2021","2.1087","2.0781","2.1105","2.0651","30.81K","1.53%"
"04/08/2021","2.0770","2.1253","2.1374","2.0700","40.32K","-2.40%"
"03/08/2021","2.1281","2.1495","2.1589","2.0911","27.30K","-0.39%"
"02/08/2021","2.1364","2.1919","2.1950","2.1197","23.27K","-2.70%"
"30/07/2021","2.1956","2.1910","2.2045","2.1759","45.81K","0.16%"
"29/07/2021","2.1921","2.1550","2.1952","2.1537","51.37K","1.59%"
"28/07/2021","2.1577","2.1500","2.1627","2.1429","48.86K","0.56%"
"27/07/2021","2.1456","2.1591","2.1670","2.1329","64.15K","-0.32%"
"26/07/2021","2.1525","2.1374","2.1599","2.1007","52.51K","0.80%"
"23/07/2021","2.1354","2.1324","2.1402","2.1222","54.70K","0.08%"
"22/07/2021","2.1336","2.0884","2.1371","2.0748","57.47K","2.15%"
"21/07/2021","2.0886","1.9973","2.0942","1.9942","49.90K","3.69%"
"20/07/2021","2.0142","1.9859","2.0209","1.9641","42.09K","1.38%"
"19/07/2021","1.9868","2.1014","2.1081","1.9691","51.72K","-6.06%"
"16/07/2021","2.1150","2.1068","2.1298","2.0850","21.01K","0.04%"
"15/07/2021","2.1141","2.1395","2.1437","2.1038","28.20K","-1.45%"
"14/07/2021","2.1452","2.1862","2.1862","2.1123","33.20K","-1.90%"
"13/07/2021","2.1867","2.1532","2.1901","2.1471","28.14K","1.60%"
"12/07/2021","2.1523","2.1535","2.1623","2.1189","32.98K","-0.24%"
"09/07/2021","2.1574","2.1296","2.1670","2.1133","25.50K","1.66%"
"08/07/2021","2.1221","2.0917","2.1313","2.0536","34.60K","1.48%"
"07/07/2021","2.0912","2.1268","2.1520","2.0646","30.21K","-0.77%"
"06/07/2021","2.1074","2.1791","2.2120","2.1010","38.31K","-4.02%"
"05/07/2021","2.1957","2.1787","2.1991","2.1662","","0.78%"
"04/07/2021","2.1787","2.1768","2.1810","2.1746","","-0.12%"
"02/07/2021","2.1814","2.1519","2.1860","2.1433","18.28K","1.09%"
"01/07/2021","2.1579","2.1316","2.1882","2.1316","28.03K","1.39%"
"30/06/2021","2.1283","2.1340","2.1480","2.1084","46.62K","0.18%"
"29/06/2021","2.1245","2.1220","2.1512","2.1015","46.42K","0.17%"
"28/06/2021","2.1208","2.1496","2.1582","2.1190","59.07K","-1.43%"
"25/06/2021","2.1515","2.1660","2.1780","2.0902","69.01K","-0.62%"
"24/06/2021","2.1650","2.1635","2.1683","2.1344","61.01K","0.12%"
"23/06/2021","2.1624","2.1551","2.1916","2.1503","64.25K","0.37%"
"22/06/2021","2.1544","2.1280","2.1609","2.1185","56.48K","1.16%"
"21/06/2021","2.1297","2.0903","2.1327","2.0737","57.03K","1.57%"
"18/06/2021","2.0967","2.0692","2.1047","2.0464","49.73K","1.32%"
"17/06/2021","2.0694","2.0955","2.1130","2.0404","35.01K","-1.72%"
"16/06/2021","2.1057","2.1193","2.1300","2.0901","28.85K","-0.43%"
"15/06/2021","2.1147","2.1130","2.1294","2.1067","21.78K","0.00%"
"14/06/2021","2.1147","2.1220","2.1442","2.1106","21.36K","-0.42%"
"11/06/2021","2.1237","2.1427","2.1549","2.0941","31.92K","-1.03%"
"10/06/2021","2.1459","2.1255","2.1585","2.1040","25.18K","0.63%"
"09/06/2021","2.1325","2.1378","2.1527","2.1215","22.71K","-0.25%"
"08/06/2021","2.1378","2.1158","2.1422","2.0952","26.66K","0.92%"
"07/06/2021","2.1184","2.1163","2.1319","2.1025","23.94K","-0.18%"
"04/06/2021","2.1222","2.1042","2.1252","2.0946","10.98K","0.86%"
"03/06/2021","2.1042","2.1072","2.1240","2.0858","19.81K","-0.24%"
"02/06/2021","2.1093","2.0825","2.1126","2.0770","21.96K","1.74%"
"01/06/2021","2.0733","2.0418","2.1140","2.0418","23.37K","1.01%"
"31/05/2021","2.0526","2.0419","2.0674","2.0369","","0.52%"
"30/05/2021","2.0419","2.0421","2.0444","2.0396","","0.18%"
"28/05/2021","2.0383","2.0558","2.0720","2.0335","47.37K","-0.82%"
"27/05/2021","2.0552","2.0460","2.0588","2.0220","47.96K","0.55%"
"26/05/2021","2.0439","2.0336","2.0485","2.0180","53.20K","0.49%"
